pathway	your_input	Souris_tax_id(10090)	entrez(10090)	gene_symbol(10090)	title(10090)	location(10090)	chrom(10090)	status(10090)	type(10090)	aliases(10090)	database(10090)	humain_tax_id(9606)	entrez(9606)	gene_symbol(9606)	title(9606)	location(9606)	chrom(9606)	status(9606)	type(9606)	aliases(9606)	database(9606)
AminoAcids	Abat	10090	268860	Abat	4-aminobutyrate aminotransferase	16 A1|16 4.06 cM	16	active	protein-coding	[AI255750, Gabaat, Gm9851, ENSMUSG00000057880, X61497, 2443582, I54, Gabat, OTTMUSG00000025937, 9630038C02Rik, GABA, Laibat, MGI:2443582]	EpiMed GENSYM	9606	18	ABAT	4-aminobutyrate aminotransferase	16p13.2	16	active	protein-coding	[23, NM_020686, GABA-AT, CCDS10534, RGD:620948, MIM:137150, uc002czc.5, ABAT, HGNC:23, NPD009, ENSG00000183044, MGI:2443582, GABAT, OTTHUMG00000048201, P80404, L32961]	NCBI GENE
Detox	Abca1	10090	11303	Abca1	ATP-binding cassette, sub-family A member 1	4 B2|4 28.57 cM	4	active	protein-coding	[99607, Abc1, ABC, ENSMUSG00000015243, ABC-1, MGI:99607, OTTMUSG00000007157]	EpiMed GENSYM	9606	19	ABCA1	ATP binding cassette subfamily A member 1	9q31.1	9	active	protein-coding	[ABCA1, OTTHUMG00000020417, HDLCQTL13, O95477, AJ012376, 29, NM_005502, CCDS6762, RGD:631344, HDLDT1, TGD, uc004bcl.4, ABC1, ABC-1, MGI:99607, HPALP1, MIM:600046, HGNC:29, ENSG00000165029, CERP]	NCBI GENE
Detox	Abca12	10090	74591	Abca12	ATP-binding cassette, sub-family A member 12	1 C3|1 35.81 cM	1	active	protein-coding	[ENSMUSG00000050296, 4832428G11Rik, MGI:2676312, 2676312, OTTMUSG00000048805, 4833417A11Rik]	EpiMed GENSYM	9606	26154	ABCA12	ATP binding cassette subfamily A member 12	2q35	2	active	protein-coding	[uc002vew.3, NM_173076, RGD:1304586, OTTHUMG00000154801, MIM:607800, CCDS33373, AF418105, ARCI4A, ARCI4B, MGI:2676312, ABCA12, Q86UK0, ICR2B, DKFZP434G232, HGNC:14637, LI2, CCDS33372, ENSG00000144452, 14637]	NCBI GENE
Detox	Abca13	10090	268379	Abca13	ATP-binding cassette, sub-family A member 13	11 A1|11 6.13 cM	11	active	protein-coding	[AI956815, 2388707, A930002G16Rik, 9830132L24, ENSMUSG00000004668, OTTMUSG00000005151, MGI:2388707]	EpiMed GENSYM	9606	154664	ABCA13	ATP binding cassette subfamily A member 13	7p12.3	7	active	protein-coding	[RGD:1305895, CCDS47584, FLJ33951, MIM:607807, FLJ33876, MGI:2388707, ABCA13, ENSG00000179869, NM_152701, Q86UQ4, HGNC:14638, 14638, AY204751, OTTHUMG00000155840, uc003toq.2]	NCBI GENE
Detox	Abca2	10090	11305	Abca2	ATP-binding cassette, sub-family A member 2	2 A3|2 17.25 cM	2	active	protein-coding	[99606, Abc, AI413825, D2H0S1474E, MGI:99606, D2H0S1474, ENSMUSG00000026944, mKIAA1062, OTTMUSG00000012108, Abc2]	EpiMed GENSYM	9606	20	ABCA2	ATP binding cassette subfamily A member 2	9q34.3	9	active	protein-coding	[U18235, uc064xhf.1, ABCA2, CCDS43909, NM_001606, IDPOGSA, OTTHUMG00000020958, ABC2, Q9BZC7, HGNC:32, MGI:99606, MIM:600047, RGD:620238, ENSG00000107331, 32]	NCBI GENE
Detox	Abca3	10090	27410	Abca3	ATP-binding cassette, sub-family A member 3	17 A3.3|17 12.38 cM	17	active	protein-coding	[OTTMUSG00000031259, Abc, 1351617, ENSMUSG00000024130, ABC-, 1810036E22Rik, MGI:1351617, ABC-C, Abc3]	EpiMed GENSYM	9606	21	ABCA3	ATP binding cassette subfamily A member 3	16p13.3	16	active	protein-coding	[33, OTTHUMG00000128845, LBM180, ABCA3, NM_001089, uc002cpy.2, ABC-C, CCDS10466, EST111653, U78735, ABC3, MIM:601615, ENSG00000167972, HGNC:33, SMDP3, MGI:1351617, RGD:1307174, Q99758]	NCBI GENE
Detox	Abca4	10090	11304	Abca4	ATP-binding cassette, sub-family A member 4	3 G1|3 52.94 cM	3	active	protein-coding	[Abc10, 109424, Abc1, AW050280, R, OTTMUSG00000029911, RmP, MGI:109424, ENSMUSG00000028125, D430003I15Rik, Abcr]	EpiMed GENSYM	9606	24	ABCA4	ATP binding cassette subfamily A member 4	1p22.1	1	active	protein-coding	[CORD3, RP19, uc001dqh.4, ENSG00000198691, 34, ABCA4, MGI:109424, STGD1, FFM, ABCR, ARMD2, CCDS747, ABC10, RMP, HGNC:34, OTTHUMG00000010622, RGD:1309445, STGD, U88667, NM_000350, P78363, MIM:601691]	NCBI GENE
Detox	Abca5	10090	217265	Abca5	ATP-binding cassette, sub-family A member 5	11 E1|11 73.53 cM	11	active	protein-coding	[ABC1, 2386607, ABC13, mKIAA1888, OTTMUSG00000003326, B930033A02Rik, MGI:2386607, ENSMUSG00000018800]	EpiMed GENSYM	9606	23461	ABCA5	ATP binding cassette subfamily A member 5	17q24.3	17	active	protein-coding	[ENSG00000154265, U66672, 35, NM_018672, MIM:612503, ABCA5, OTTHUMG00000180303, HTGH, uc002jig.3, MGI:2386607, CCDS11685, Q8WWZ7, ABC13, DEL17q24, RGD:628661, EST90625, HGNC:35, HTC3]	NCBI GENE
Detox	Abca6	10090	76184	Abca6	ATP-binding cassette, sub-family A member 6	11 E1|11 73.37 cM	11	active	protein-coding	[1923434, 6330565N06Rik, ENSMUSG00000044749, OTTMUSG00000003327, MGI:1923434]	EpiMed GENSYM	9606	23460	ABCA6	ATP binding cassette subfamily A member 6	17q24.2-q24.3	17	active	protein-coding	[EST155051, Q8N139, 36, MIM:612504, ABCA6, ENSG00000154262, U66680, OTTHUMG00000180258, CCDS11683, RGD:1308998, HGNC:36, uc002jhw.2, NM_080284, MGI:1923434]	NCBI GENE
Detox	Abca7	10090	27403	Abca7	ATP-binding cassette, sub-family A member 7	10 C1|10 39.72 cM	10	active	protein-coding	[1351646, MGI:1351646, ABCX, Abc5, OTTMUSG00000032606, Abc51, ENSMUSG00000035722]	EpiMed GENSYM	9606	10347	ABCA7	ATP binding cassette subfamily A member 7	19p13.3	19	active	protein-coding	[AF328787, NM_019112, Q8IZY2, MIM:605414, RGD:1303134, 37, MGI:1351646, ABCA-SSN, ABCX, ENSG00000064687, ABCA7, CCDS12055, uc002lqw.5, OTTHUMG00000167547, AD9, HGNC:37]	NCBI GENE
